service,start_time,end_time,consumption
ELECTRIC,2026-08-13 00:00:00-04:00,2026-08-13 00:14:59-04:00,0
ELECTRIC,2026-08-13 00:15:00-04:00,2026-08-13 00:29:59-04:00,0
ELECTRIC,2026-08-13 00:30:00-04:00,2026-08-13 00:44:59-04:00,0
ELECTRIC,2026-08-13 00:45:00-04:00,2026-08-13 00:59:59-04:00,0
ELECTRIC,2026-08-13 01:00:00-04:00,2026-08-13 01:14:59-04:00,0
ELECTRIC,2026-08-13 01:15:00-04:00,2026-08-13 01:29:59-04:00,0
ELECTRIC,2026-08-13 01:30:00-04:00,2026-08-13 01:44:59-04:00,0
ELECTRIC,2026-08-13 01:45:00-04:00,2026-08-13 01:59:59-04:00,0
ELECTRIC,2026-08-13 02:00:00-04:00,2026-08-13 02:14:59-04:00,0
ELECTRIC,2026-08-13 02:15:00-04:00,2026-08-13 02:29:59-04:00,0
ELECTRIC,2026-08-13 02:30:00-04:00,2026-08-13 02:44:59-04:00,0
ELECTRIC,2026-08-13 02:45:00-04:00,2026-08-13 02:59:59-04:00,0
ELECTRIC,2026-08-13 03:00:00-04:00,2026-08-13 03:14:59-04:00,0
ELECTRIC,2026-08-13 03:15:00-04:00,2026-08-13 03:29:59-04:00,0
ELECTRIC,2026-08-13 03:30:00-04:00,2026-08-13 03:44:59-04:00,0
ELECTRIC,2026-08-13 03:45:00-04:00,2026-08-13 03:59:59-04:00,0
ELECTRIC,2026-08-13 04:00:00-04:00,2026-08-13 04:14:59-04:00,0
ELECTRIC,2026-08-13 04:15:00-04:00,2026-08-13 04:29:59-04:00,0
ELECTRIC,2026-08-13 04:30:00-04:00,2026-08-13 04:44:59-04:00,0
ELECTRIC,2026-08-13 04:45:00-04:00,2026-08-13 04:59:59-04:00,0
ELECTRIC,2026-08-13 05:00:00-04:00,2026-08-13 05:14:59-04:00,0
ELECTRIC,2026-08-13 05:15:00-04:00,2026-08-13 05:29:59-04:00,0
ELECTRIC,2026-08-13 05:30:00-04:00,2026-08-13 05:44:59-04:00,0
ELECTRIC,2026-08-13 05:45:00-04:00,2026-08-13 05:59:59-04:00,0
ELECTRIC,2026-08-13 06:00:00-04:00,2026-08-13 06:14:59-04:00,0
ELECTRIC,2026-08-13 06:15:00-04:00,2026-08-13 06:29:59-04:00,0
ELECTRIC,2026-08-13 06:30:00-04:00,2026-08-13 06:44:59-04:00,0
ELECTRIC,2026-08-13 06:45:00-04:00,2026-08-13 06:59:59-04:00,0
ELECTRIC,2026-08-13 07:00:00-04:00,2026-08-13 07:14:59-04:00,0
ELECTRIC,2026-08-13 07:15:00-04:00,2026-08-13 07:29:59-04:00,0
ELECTRIC,2026-08-13 07:30:00-04:00,2026-08-13 07:44:59-04:00,0
ELECTRIC,2026-08-13 07:45:00-04:00,2026-08-13 07:59:59-04:00,0
ELECTRIC,2026-08-13 08:00:00-04:00,2026-08-13 08:14:59-04:00,0
ELECTRIC,2026-08-13 08:15:00-04:00,2026-08-13 08:29:59-04:00,0
ELECTRIC,2026-08-13 08:30:00-04:00,2026-08-13 08:44:59-04:00,0
ELECTRIC,2026-08-13 08:45:00-04:00,2026-08-13 08:59:59-04:00,0
ELECTRIC,2026-08-13 09:00:00-04:00,2026-08-13 09:14:59-04:00,0
